Subject Unique Identifier,Baseline,3 Month Followup,6 Month Followup,cluster
9553,24,12,15,0
87,20,24,27,0
4751,25,24,14,0
335,27,27,21,0
1221,29,15,16,0
2161,30,24,18,0
3393,25,22,16,0
5097,20,20,13,0
9739,14,24,26,0
10593,22,12,12,0
11401,23,23,27,0
2648,41,36,29,1
8888,55,25,98,1
5696,26,31,39,1
800,54,30,29,1
2726,45,36,34,1
3360,41,24,25,1
4645,35,31,42,1
9779,37,29,29,1
748,70,34,35,1
1116,14,13,7,2
2102,4,21,20,2
3994,4,3,20,2
11159,13,17,13,2
11179,13,15,9,2
11331,10,18,15,2
4468,19,5,15,2
6341,16,17,16,2
192,12,13,12,2
